@ACMGuedes_Geo 	  DJIGlobal 	  Worldwide
@ACMGuedes_Geo 	  ArcGISOnline 	  Redlands, CA
@ACMGuedes_Geo 	  ArcGISPro 	  Redlands, CA
@ACMGuedes_Geo 	  geomusingsblog 	  
@ACMGuedes_Geo 	  diretodaciencia 	  Sao Paulo, Brasil
@ACMGuedes_Geo 	  tycgis 	  Madrid  (Espana) 
@ACMGuedes_Geo 	  rogeriotomazjr 	  Brasilia, Brasil
@ACMGuedes_Geo 	  HaleyReinhart 	  Los Angeles 
@ACMGuedes_Geo 	  layergeotec 	  
@ACMGuedes_Geo 	  datadoghq 	  New York
@ACMGuedes_Geo 	  rev_brasileiros 	  Sao Paulo, SP, Brasil
@ACMGuedes_Geo 	  MegaCurioso 	  Curitiba, PR
@ACMGuedes_Geo 	  murilordcardoso 	  Goiania - GO
@ACMGuedes_Geo 	  Tati_Para 	  
@ACMGuedes_Geo 	  OpenStreetMapBR 	  Brasil
@ACMGuedes_Geo 	  sourceforge 	  San Francisco, CA
@ACMGuedes_Geo 	  digiphotolive 	  
@ACMGuedes_Geo 	  redebrasilatual 	  Brasil
@ACMGuedes_Geo 	  OpenTopography 	  San Diego, CA / Boulder, CO
@ACMGuedes_Geo 	  SaoPauloFC 	  Sao Paulo
@ACMGuedes_Geo 	  cabelo_linux 	  Brazil
@ACMGuedes_Geo 	  metrosp_oficial 	  Sao Paulo, Brasil  
@ACMGuedes_Geo 	  sptrans_ 	  Sao Paulo, SP, Brasil
@ACMGuedes_Geo 	  CETSP_ 	  Sao Paulo - SP
@ACMGuedes_Geo 	  NewLinuxCounter 	  47.80039,9.03307
@ACMGuedes_Geo 	  EngUchoa 	  Brazil
@ACMGuedes_Geo 	  NorthRiverGeo 	  Southeast US
@ACMGuedes_Geo 	  LeiSecaSP 	  
@ACMGuedes_Geo 	  jornalistha_RJ 	  Macae, Rio de Janeiro
@ACMGuedes_Geo 	  LinuxLite 	  New Zealand
@ACMGuedes_Geo 	  PMJofficial 	  Coming to your city. 
@ACMGuedes_Geo 	  geotribu 	  
@ACMGuedes_Geo 	  morganajames 	  New York, NY
@ACMGuedes_Geo 	  GisGeography 	  North America
@ACMGuedes_Geo 	  mapserverpro 	  Austin, TX - USA
@ACMGuedes_Geo 	  mvexel 	  Salt Lake City
@ACMGuedes_Geo 	  MarcoChiappetta 	  U.S.A.
@ACMGuedes_Geo 	  jessfraz 	  Falken's Maze
@ACMGuedes_Geo 	  SupergeoTek 	  Taiwan
@ACMGuedes_Geo 	  linux_dicas 	  
@ACMGuedes_Geo 	  Geograma_ 	  Espana
@ACMGuedes_Geo 	  DellnoBrasil 	  Brasil
@ACMGuedes_Geo 	  paodeacucar 	  
@ACMGuedes_Geo 	  IGEOeduc 	  Sao Jose dos Campos, Brasil
@ACMGuedes_Geo 	  autoesporte 	  Brasil
@ACMGuedes_Geo 	  drewbo19 	  
@ACMGuedes_Geo 	  dalonsoramos 	  
@ACMGuedes_Geo 	  blogdiolinux 	  
@ACMGuedes_Geo 	  Viagem_Livre 	  Brasil
@ACMGuedes_Geo 	  KLM 	  Amsterdam, the Netherlands
@ACMGuedes_Geo 	  banco24horas 	  
@ACMGuedes_Geo 	  Assis_aa 	  
@ACMGuedes_Geo 	  GeoEntelechy 	  Silicon Valley
@ACMGuedes_Geo 	  PedroGuidara 	  Sao Paulo 
@ACMGuedes_Geo 	  maddoghall 	  New Hampshire, United States
@ACMGuedes_Geo 	  natmaps1 	  
@ACMGuedes_Geo 	  masquesig 	  Valencia, Espana
@ACMGuedes_Geo 	  GooglePlay 	  
@ACMGuedes_Geo 	  Android 	  Mountain View, CA
@ACMGuedes_Geo 	  info_gadgets 	  Sao Paulo
@ACMGuedes_Geo 	  Eliane_Domingos 	  Brasil
@ACMGuedes_Geo 	  mmeioambiente 	  Brasilia, Brasil
@ACMGuedes_Geo 	  DicasINFO 	  Sao Paulo
@ACMGuedes_Geo 	  osesp 	  
@ACMGuedes_Geo 	  SamsungMobile 	  
@ACMGuedes_Geo 	  MapInfoTom 	  UK
@ACMGuedes_Geo 	  johelm 	  Santiago,Chile
@ACMGuedes_Geo 	  geoawesomeness 	  Worldwide
@ACMGuedes_Geo 	  RevistaConcerto 	  Brasil
@ACMGuedes_Geo 	  GrandeesMusicos 	  Sao Paulo - SP - Brasil
@ACMGuedes_Geo 	  ArchDailyBR 	  Sao Paulo
@ACMGuedes_Geo 	  o_eco 	  Brasil
@ACMGuedes_Geo 	  lorenahathaway 	  Silicon Valley
@ACMGuedes_Geo 	  rebiaoficial 	  Rio de Janeiro - Brazil
@ACMGuedes_Geo 	  androidicas1 	  
@ACMGuedes_Geo 	  osgeolabs 	  
@ACMGuedes_Geo 	  udigGIS 	  
@ACMGuedes_Geo 	  SERPRO 	  Brasil
@ACMGuedes_Geo 	  OpenGeo 	  Null Island
@ACMGuedes_Geo 	  micropat 	  San Francisco, CA
@ACMGuedes_Geo 	  franzpc 	  Loja - Ecuador
@ACMGuedes_Geo 	  CISLGovBR 	  
@ACMGuedes_Geo 	  eribertomota 	  Aguas Claras e Brasilia, DF
@ACMGuedes_Geo 	  edivaldobrito 	  Acailandia - Maranhao
@ACMGuedes_Geo 	  sinfogeo 	  Madrid
@ACMGuedes_Geo 	  CARTO 	  Earth
@ACMGuedes_Geo 	  planetubuntu 	  
@ACMGuedes_Geo 	  archlinux 	  
@ACMGuedes_Geo 	  omgubuntu 	  US/UK
@ACMGuedes_Geo 	  Linux 	  Antarctica
@ACMGuedes_Geo 	  GeographicalMag 	  London, England
@ACMGuedes_Geo 	  Ubuntu_OS 	  Worldwide
@ACMGuedes_Geo 	  Linux_Mint 	  Worldwide
@ACMGuedes_Geo 	  portalcmais 	  
@ACMGuedes_Geo 	  Topotienda 	  Spain
@ACMGuedes_Geo 	  cesarbrod 	  Lajeado, RS
@ACMGuedes_Geo 	  FirstUploads 	  
@ACMGuedes_Geo 	  mmodima 	  Rome, Italy
@ACMGuedes_Geo 	  cartolab 	  A Coruna, Galicia, Espana
@ACMGuedes_Geo 	  arduino 	  
@ACMGuedes_Geo 	  Raspberry_Pi 	  Cambridge, UK
@ACMGuedes_Geo 	  GeographGIS 	  Brasil
@ACMGuedes_Geo 	  LAStools 	  
@ACMGuedes_Geo 	  ubuntu 	  Ubuntu is everywhere
@ACMGuedes_Geo 	  ubuntucloud 	  cloud
@ACMGuedes_Geo 	  LinuxDotCom 	  Everywhere
@ACMGuedes_Geo 	  fedora 	  
@ACMGuedes_Geo 	  gnome 	  
@ACMGuedes_Geo 	  debian 	  The world
@ACMGuedes_Geo 	  linux_pro 	  UT: 38.981316,-95.253678
@ACMGuedes_Geo 	  FOSS_Linux 	  World Wide           
@ACMGuedes_Geo 	  linuxtoday 	  
@ACMGuedes_Geo 	  LinuxPower 	  Worldwide
@ACMGuedes_Geo 	  OpenSourceForU 	  India
@ACMGuedes_Geo 	  nixcraft 	  Rootland
@ACMGuedes_Geo 	  LinuxUserMag 	  Bath, England
@ACMGuedes_Geo 	  porteusOS 	  Omnipotent
@ACMGuedes_Geo 	  pplware 	  Porto
@ACMGuedes_Geo 	  thebriefoficial 	  
@ACMGuedes_Geo 	  DealeXtremeFans 	  
@ACMGuedes_Geo 	  mapinfo 	  
@ACMGuedes_Geo 	  centrocultural 	  Rua Vergueiro, 1000. Sao Paulo
@ACMGuedes_Geo 	  NOAA 	  USA (Formerly @usNOAAgov)
@ACMGuedes_Geo 	  USGSTNM 	  
@ACMGuedes_Geo 	  BlueMarbleGeo 	  Hallowell Maine, USA
@ACMGuedes_Geo 	  Geoactual 	  
@ACMGuedes_Geo 	  Algoritmizando 	  Brasilia - DF
@ACMGuedes_Geo 	  PSLBrasil 	  Brasil
@ACMGuedes_Geo 	  aprigiosimoes 	  Milano, Lombardia
@ACMGuedes_Geo 	  lnxtotal 	  Brazil
@ACMGuedes_Geo 	  linux10complica 	  
@ACMGuedes_Geo 	  linuxsolutions 	  Rio de Janeiro - Brazil
@ACMGuedes_Geo 	  tuxbrasileiro 	  Brasil
@ACMGuedes_Geo 	  ubuntu_br_sp 	  Sao Paulo
@ACMGuedes_Geo 	  underlinux 	  Brasil
@ACMGuedes_Geo 	  brlinux 	  
@ACMGuedes_Geo 	  openmap 	  Massachusetts, USA
@ACMGuedes_Geo 	  EstadaoLink 	  Sao Paulo - Brasil
@ACMGuedes_Geo 	  GeoFencing1 	  Global
@ACMGuedes_Geo 	  UrbanTechs 	  WorldWide
@ACMGuedes_Geo 	  _marcuscarvalho 	  Rio de Janeiro - RJ / Brasil
@ACMGuedes_Geo 	  pcworld 	  United States
@ACMGuedes_Geo 	  techradar 	  UK, US, AU
@ACMGuedes_Geo 	  CNETNews 	  San Francisco, CA
@ACMGuedes_Geo 	  CNETUK 	  
@ACMGuedes_Geo 	  falko 	  Luneburg, Germany
@ACMGuedes_Geo 	  linuxleech 	  London
@ACMGuedes_Geo 	  earthoutreach 	  Mountain View, California, USA
@ACMGuedes_Geo 	  GeoMentor 	  Everywhere!
@ACMGuedes_Geo 	  linux_magazine 	  Brazil
@ACMGuedes_Geo 	  gisday 	  Worldwide
@ACMGuedes_Geo 	  brasil_IBAMA 	  Brasilia - DF, Brasil
@ACMGuedes_Geo 	  GoogleMapsAPI 	  Sydney, Australia
@ACMGuedes_Geo 	  Joseguerreroalv 	  Rubi
@ACMGuedes_Geo 	  Amb_Geograficos 	  
@ACMGuedes_Geo 	  TerraGo 	  UT: 38.895032,-77.010651
@ACMGuedes_Geo 	  LojaCulturaNerd 	  Sao Paulo/SP
@ACMGuedes_Geo 	  GEOeasy 	  Uberlandia
@ACMGuedes_Geo 	  dicasl 	  Brazil
@ACMGuedes_Geo 	  Geomatica 	  42.46421, -2.44546
@ACMGuedes_Geo 	  bingmaps 	  Redmond, WA
@ACMGuedes_Geo 	  directionsmag 	  Glencoe, Illinois, USA
@ACMGuedes_Geo 	  shotbyjames 	  Vila Velha, Brasil
@ACMGuedes_Geo 	  Dropbox 	  San Francisco, CA
@ACMGuedes_Geo 	  LinuxnaNet 	  Rio de Janeiro - Brasil
@ACMGuedes_Geo 	  sejalivrelinux 	  Brasil
@ACMGuedes_Geo 	  ShareThis 	  Palo Alto, CA
@ACMGuedes_Geo 	  liberiangeek 	  Liberia
@ACMGuedes_Geo 	  EXAME_tec 	  Sao Paulo, Brasil
@ACMGuedes_Geo 	  TechTudo 	  Rio de Janeiro
@ACMGuedes_Geo 	  Mapbox 	  Washington DC + San Francisco
@ACMGuedes_Geo 	  aboutlinux 	  
@ACMGuedes_Geo 	  unixmen 	  Whole  world
@ACMGuedes_Geo 	  addthis 	  DC
@ACMGuedes_Geo 	  petrobras 	  Brasil
@ACMGuedes_Geo 	  HootsuiteMobile 	  
@ACMGuedes_Geo 	  DrielleBezerra1 	  
@ACMGuedes_Geo 	  FeedSPFC 	  BR
@ACMGuedes_Geo 	  CarlosGrohmann 	  Sao Paulo - Brazil
@ACMGuedes_Geo 	  webmapsolutions 	  Salt Lake City
@ACMGuedes_Geo 	  geomaticblog 	  On Earth
@ACMGuedes_Geo 	  flightradar24 	  Stockholm, Sweden
@ACMGuedes_Geo 	  PortalAndroidZ 	  Brasil
@ACMGuedes_Geo 	  BiotaFAPESP 	  Campinas, Brasil
@ACMGuedes_Geo 	  eduol 	  Curitiba, PR, Brasil
@ACMGuedes_Geo 	  EsriEnvironment 	  Global
@ACMGuedes_Geo 	  UpUbuntu 	  
@ACMGuedes_Geo 	  TechLW 	  
@ACMGuedes_Geo 	  finide 	  
@ACMGuedes_Geo 	  onlmaps 	  
@ACMGuedes_Geo 	  EsriCanada 	  Toronto
@ACMGuedes_Geo 	  trimbledata 	  Westminster, CO
@ACMGuedes_Geo 	  meoneogeo 	  16.8083,100.21667
@ACMGuedes_Geo 	  OpenWeatherMap 	  
@ACMGuedes_Geo 	  geoproEA 	  Escola de Arquitetura - UFMG
@ACMGuedes_Geo 	  sandrobatista 	  portugal and around
@ACMGuedes_Geo 	  marcellobenigno 	  Joao Pessoa - PB
@ACMGuedes_Geo 	  TheAtlPhoto 	  
@ACMGuedes_Geo 	  JustinColeGIS 	  43.155353,-77.616012
@ACMGuedes_Geo 	  astroidex 	  Koln
@ACMGuedes_Geo 	  0mgould 	  global
@ACMGuedes_Geo 	  OneLouderApps 	  Kansas City, MO
@ACMGuedes_Geo 	  radiognu 	  
@ACMGuedes_Geo 	  usemoslinux 	  
@ACMGuedes_Geo 	  USGSLandsat 	  Sioux Falls, South Dakota
@ACMGuedes_Geo 	  MappingGIS 	  Valladolid, Spain
@ACMGuedes_Geo 	  canaltech 	  Sao Paulo, Brasil
@ACMGuedes_Geo 	  Stanrley_ 	  Natal/RN
@ACMGuedes_Geo 	  Noteshared 	  Web
@ACMGuedes_Geo 	  universo_geo 	  
@ACMGuedes_Geo 	  GISedu 	  
@ACMGuedes_Geo 	  digitalurban 	  WC1E 7HB
@ACMGuedes_Geo 	  ComparteSig 	  Madrid
@ACMGuedes_Geo 	  fotografiadg 	  
@ACMGuedes_Geo 	  dncpax 	  Cuba, Portugal
@ACMGuedes_Geo 	  deegree_org 	  
@ACMGuedes_Geo 	  openshift 	  Scalably Managing Containers
@ACMGuedes_Geo 	  MartinOuellet 	  Quebec, Canada
@ACMGuedes_Geo 	  geofumadas 	  Honduras
@ACMGuedes_Geo 	  OneGeology 	  
@ACMGuedes_Geo 	  ResearchGate 	  Berlin, Germany
@ACMGuedes_Geo 	  geo_cursos 	  
@ACMGuedes_Geo 	  ana_paulagarcia 	  Brasil
@ACMGuedes_Geo 	  CanGeoEdu 	  Canada
@ACMGuedes_Geo 	  guldalder 	  Malmo, Sweden
@ACMGuedes_Geo 	  CNET 	  San Francisco
@ACMGuedes_Geo 	  breno_mineiro 	  Belo Horizonte / Belem do Para
@ACMGuedes_Geo 	  USGS 	  Reston, VA
@ACMGuedes_Geo 	  seismicupdate 	  Global
@ACMGuedes_Geo 	  NewEarthquake 	  Worldwide
@ACMGuedes_Geo 	  madmanwoo 	  Gold Coast, Queensland
@ACMGuedes_Geo 	  androidcentral 	  Florida
@ACMGuedes_Geo 	  android_brasil 	  Brasil
@ACMGuedes_Geo 	  HotAndroidApps 	  
@ACMGuedes_Geo 	  Tecnoblog 	  Brasil
@ACMGuedes_Geo 	  androidapps 	  42.299759,-71.378296
@ACMGuedes_Geo 	  G1users 	  San Francisco
@ACMGuedes_Geo 	  portal_android 	  Brasil
@ACMGuedes_Geo 	  UOLTecnologia 	  Brasil
@ACMGuedes_Geo 	  linuxfoundation 	  San Francisco, CA
@ACMGuedes_Geo 	  INPE_CPTEC 	  Brasil
@ACMGuedes_Geo 	  linkflorestal 	  Brazil
@ACMGuedes_Geo 	  profissionaisti 	  Brasil
@ACMGuedes_Geo 	  GISdotcom 	  Redlands, California USA
@ACMGuedes_Geo 	  neomapa 	  Mexico
@ACMGuedes_Geo 	  BancodoBrasil 	  Brasilia (DF), Brasil
@ACMGuedes_Geo 	  mapatd 	  Brasil
@ACMGuedes_Geo 	  Geo_and_News 	  Brasil
@ACMGuedes_Geo 	  GISZONE 	  California - USA
@ACMGuedes_Geo 	  geotechnology 	  Colorado
